"Probe Number","Probe Name","OS","Media","Test start time","Test duration","Connection start time","Connection duration","callSetupTime","score","sessionNumber","inSessionIdx","networking","firewall","browser","location","status","URL","reason","audioBitrate_In","audioBitrate_Out","audioBitrate_In_Max","audioBitrate_In_Min","audioBitrate_Out_Max","audioBitrate_Out_Min","audioPackets_In","audioPacketsLoss_In","audioPacketsLossPercent_In","audioPackets_Out","audioPacketsLoss_Out","audioPacketsLossPercent_Out","audioJitter_In","audioJitter_In_Max","audioJitter_Out","audioJitter_Out_Max","audioRoundtrip","audioRoundtrip_Max","videoBitrate_In","videoBitrate_Out","videoBitrate_In_Max","videoBitrate_In_Min","videoBitrate_Out_Max","videoBitrate_Out_Min","videoPackets_In","videoPacketsLoss_In","videoPacketsLossPercent_In","videoPackets_Out","videoPacketsLoss_Out","videoPacketsLossPercent_Out","videoJitter_In","videoJitter_In_Max","videoJitter_Out","videoJitter_Out_Max","videoRoundtrip","videoRoundtrip_Max"
"076","quixotic-meat-076","Linux","VOA-VGA (480x640)","2021-03-23T18:55:51.486Z","396.445","2021-03-23T18:59:45.963Z","116.504",3.87,5.1,38,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5ce","Error while running .navigateTo) protocol action: An unknown error has occurred.","53.59","29.70","239.25",0,"34.05","16.73",10896,"42.50","0.78 %",5630,60,"1.07 %","18.87",133,"8.09","13.81","17.53",36,"1173.35","738.33","1439.63","121.47","1119.71","206.02",16181,0,"0 %",10565,0,"0 %","774.86","1586.95","6.80","22.02","19.70",52
"077","quixotic-meat-077","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.487Z","412.239","2021-03-23T18:57:54.789Z","279.393",114.98,5.5,39,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5cf","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","165.06","59.35","35.95","13.98","121.02","2.73",57461,"10.33","0.11 %",23184,"17.50","0.15 %","10.56",24,"9.98","21.17","31.88",192,"5078.61","1739.17","1262.73","295.48","1652.08","147.68",121277,0,"0 %",49042,0,"0 %","756.84","2009.30","7.44","24.60","27.24",161
"078","quixotic-meat-078","Linux","VOA-VGA (480x640)","2021-03-23T18:55:51.487Z","401.646","2021-03-23T18:59:43.300Z","159.383",8.01,5.4,39,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5d0","Error while running .navigateTo) protocol action: An unknown error has occurred.","54.17","28.05","271.18",0,"33.90","14.25",15005,"27.50","0.37 %",7735,0,"0 %","15.87",70,"5.61","8.77","18.85",32,"1604.78","905.01","1956.52","124.35","1172.94","259.13",29929,0,"0 %",17175,0,"0 %","465.84","990.00","5.47","10.84","18.48",57
"079","quixotic-meat-079","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.490Z","390.969","2021-03-23T18:57:44.212Z","232.814",120.32,5.3,40,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5d1","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","109.91","30.24","101.32",0,"47.71","13.79",29259,2,"0.03 %",10292,0,"0 %","14.91",58,"6.07","9.69","19.89",50,"3038.34","816.45","1366.37","138.98","1399.56","129.29",57205,0,"0 %",20823,1,"0.00 %","1009.69","2004.00","6.07","16.34","17.56",93
"080","quixotic-meat-080","Linux","VOA-VGA (480x640)","2021-03-23T18:55:51.491Z","388.374","2021-03-23T18:59:30.899Z","125.693",3.91,5.1,40,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5d2","Error while running .navigateTo) protocol action: An unknown error has occurred.","22.89","28.69","275.43",0,"33.68","13.23",4728,42,"0.89 %",6061,59,"0.97 %","22.12",142,"8.19","13.65","21.16",41,"774.26","757.69","1941.92","273.75","1397.47","198.03",11163,0,"0 %",11461,0,"0 %","638.04","1159.00","7.19","19.64","21.03",112
"081","quixotic-meat-081","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.492Z","410.461","2021-03-23T18:57:49.717Z","229.953",119.08,5.6,41,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5d3","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","115.66","29.58","89.07","5.89","80.49","6.20",31139,"7.25","0.09 %",10956,81,"0.74 %","10.84",30,"8.84","21.48","25.66",91,"3338.65","791.07","2887.02","181.52","2785.81","119.70",63653,0,"0 %",21277,0,"0 %","187.02","268.68","7.93","25.98","23.15",150
"082","quixotic-meat-082","Linux","VOA-VGA (480x640)","2021-03-23T18:55:51.493Z","400.457","2021-03-23T18:59:43.208Z","116.473",3.96,5.5,41,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5d4","Error while running .navigateTo) protocol action: An unknown error has occurred.","25.63","29.11","315.07",0,"34.19","16.08",5261,36,"0.68 %",5630,38,"0.67 %","22.33",131,"8.50","19.54","17.58",33,"670.74","841.85","1389.30","164.76","1237.77","213.33",9191,0,"0 %",11726,1,"0.01 %","754.17","1361.84","5.90","14.76","21.00",111
"083","quixotic-meat-083","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.493Z","405.932","2021-03-23T18:57:48.249Z","223.535",114.05,5.6,42,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5d5","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","203.19","58.67","78.76",0,"77.58","4.38",54370,"25.29","0.33 %",20599,"58.50","0.57 %","15.60",67,"12.60","24.83","36.09",141,"5587.75","1598.58","1342.16","211.13","1544.47","202.09",110039,0,"0 %",40688,0,"0 %","1844.19","3008.26","8.37","24.61","33.10",216
"084","quixotic-meat-084","Linux","VOA-VGA (480x640)","2021-03-23T18:55:51.494Z","396.324","2021-03-23T18:59:37.696Z","112.69",3.94,5.7,42,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5d6","Error while running .navigateTo) protocol action: An unknown error has occurred.","56.35","30.63","213.25",0,"33.06","22.21",10691,30,"0.56 %",5435,68,"1.25 %","18.81",58,"7.75","17.79","17.87",26,"1479.48","780.82","1557.48","176.54","1318.47","206.20",19623,0,"0 %",10507,0,"0 %","476.47","1144.87","7.16","33.58","22.01",64
"085","quixotic-meat-085","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.499Z","417.187","2021-03-23T18:58:39.897Z","182.593",54.99,5.1,43,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5d7","https:/www.staging.liviasaude.com.br/assetslv2/img/img-consultas-desktop.jpg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","204.05","58.52","50.44","5.87","42.27","16.07",50129,"11.57","0.16 %",16529,"31.50","0.38 %","14.76",46,"14.25","28.29","40.66",192,"4343.52","1174.90","1191.36","71.01","1643.96","129.93",79617,0,"0 %",24685,0,"0 %","1315.62","2211.55","13.40","43.01","40.84",269
