"Probe Number","Probe Name","OS","Media","Test start time","Test duration","Connection start time","Connection duration","callSetupTime","score","sessionNumber","inSessionIdx","networking","firewall","browser","location","status","URL","reason","audioBitrate_In","audioBitrate_Out","audioBitrate_In_Max","audioBitrate_In_Min","audioBitrate_Out_Max","audioBitrate_Out_Min","audioPackets_In","audioPacketsLoss_In","audioPacketsLossPercent_In","audioPackets_Out","audioPacketsLoss_Out","audioPacketsLossPercent_Out","audioJitter_In","audioJitter_In_Max","audioJitter_Out","audioJitter_Out_Max","audioRoundtrip","audioRoundtrip_Max","videoBitrate_In","videoBitrate_Out","videoBitrate_In_Max","videoBitrate_In_Min","videoBitrate_Out_Max","videoBitrate_Out_Min","videoPackets_In","videoPacketsLoss_In","videoPacketsLossPercent_In","videoPackets_Out","videoPacketsLoss_Out","videoPacketsLossPercent_Out","videoJitter_In","videoJitter_In_Max","videoJitter_Out","videoJitter_Out_Max","videoRoundtrip","videoRoundtrip_Max"
"080","sad-stone-080","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.575Z","383.594","2021-03-23T20:13:00.459Z","104.001",3,5.7,40,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c542","Error while running .navigateTo) protocol action: An unknown error has occurred.","30.13",0,"146.32",0,0,0,4949,0,"0 %",0,0,"0 %","13.71",80,0,0,0,0,"824.55",0,"1632.41","187.47",0,0,9859,0,"0 %",0,0,"0 %","96.09","110.45",0,0,0,0
"081","sad-stone-081","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.576Z","1022.005","No data","NaN",NaN,0,41,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","timeout","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c543","Error while running .elementSubmit) protocol action: stale element reference: element is not attached to the page document",0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0
"082","sad-stone-082","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.577Z","708.564","No data","NaN",NaN,0,41,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c544","Error while running .navigateTo) protocol action: An unknown error has occurred.",0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0
"083","sad-stone-083","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.578Z","398.371","2021-03-23T20:11:03.747Z","222.492",128.19,5.7,42,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c545","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","174.03","58.80","69.88",0,"102.63","6.52",48697,0,"0 %",20401,42,"0.41 %",15,31,"10.84","22.90","34.59",124,"4858.10","1566.02","1270.87","276.27","1432.03","55.27",98112,0,"0 %",39894,"10.50","0.05 %","1166.68","2495.65","9.94","31.37","28.21",194
"084","sad-stone-084","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.579Z","391.8","2021-03-23T20:12:57.054Z","108.218",10.22,5.5,42,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c546","Error while running .navigateTo) protocol action: An unknown error has occurred.","57.19","29.21","168.45",0,"33.72","18.88",10225,0,"0 %",4883,28,"0.57 %","15.67",30,"10.79","25.13","25.77",199,"1375.89","796.70","1402.49","197.03","1259.98","255.02",17720,0,"0 %",9835,0,"0 %","288.20","615.00","7.72","26.38","39.55",478
"085","sad-stone-085","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.580Z","410.567","2021-03-23T20:11:11.576Z","224.278",95.96,5.8,43,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c547","Error while running .elementSubmit) protocol action: stale element reference: element is not attached to the page document","148.07","58.41","204.89",0,"96.57","9.04",44602,"7.20","0.08 %",19915,19,"0.19 %","16.44",95,"14.67","41.10","67.08",515,"4015.64","1589.03","3413.74","32.85","1908.76","29.76",89319,0,"0 %",39097,3,"0.02 %","765.31","2139.43","11.18","33.84","37.01",249
"086","sad-stone-086","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.583Z","395.441","2021-03-23T20:13:13.714Z","93.001",8,4.6,43,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c548","Error while running .navigateTo) protocol action: An unknown error has occurred.","29.15",0,"204.03",0,0,0,4317,0,"0 %",0,0,"0 %","21.16",218,0,0,0,0,"582.25",0,"1866.75","77.13",0,0,5963,0,"0 %",0,0,"0 %","155.95","209.32",0,0,0,0
"087","sad-stone-087","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.654Z","398.417","2021-03-23T20:11:11.657Z","212.483",121,5.6,44,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c549","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","147.35","29.08","76.45","3.67","53.64",9,35770,"4.80","0.07 %",10250,78,"0.76 %","14.52",43,"11.56","55.23","30.00",136,"3706.65","818.71","1327.99","78.30","1706.51","92.34",69464,0,"0 %",20836,158,"0.76 %","118.46","140.59","8.73","138.71","29.08",364
"088","sad-stone-088","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.656Z","386.087","2021-03-23T20:12:59.417Z","92.188",5.19,5.4,44,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c54a","Error while running .navigateTo) protocol action: An unknown error has occurred.","28.24","29.56","124.58",0,"33.70","19.52",4460,0,"0 %",4331,25,"0.58 %","14.40",112,"10.61","33.94","20.97",46,"727.82","569.81","1364.95","207.38","1208.33","71.73",8014,0,"0 %",6487,0,"0 %","903.40","2190.32","10.91","68.41","25.37",94
"089","sad-stone-089","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.657Z","402.507","2021-03-23T20:11:04.834Z","225.377",131.17,5.9,45,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c54b","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","57.08","59.55","77.27","12.72","61.05","8.62",14099,9,"0.13 %",20876,"46.50","0.45 %","12.84",29,"10.13","22.42","19.19",74,"1726.54","1669.83","1985.52","268.49","1655.19","118.71",30303,0,"0 %",43380,11,"0.05 %","191.61","296.63","7.74","54.81","28.20",810
"090","sad-stone-090","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.658Z","395.226","2021-03-23T20:13:01.546Z","101.995",10,4.6,45,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c54c","Error while running .navigateTo) protocol action: An unknown error has occurred.","52.32",0,"153.77",0,0,0,8319,"3.50","0.08 %",0,0,"0 %","19.84",196,0,0,0,0,"1536.98",0,"1357.68",0,0,0,17497,0,"0 %",0,0,"0 %","597.46","1675.64",0,0,0,0
"091","sad-stone-091","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.659Z","407.52","2021-03-23T20:10:59.266Z","234.007",18.96,5.7,46,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c54d","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","116.07","58.53","232.62",0,"64.76","13.82",42228,"0.50","0.00 %",21699,26,"0.24 %","14.51",141,"12.21","30.69","36.22",280,"3169.81","1654.27","1567.38","101.30","1584.93","119.05",83056,0,"0 %",44436,0,"0 %","321.68","1312.83","8.86","28.31","29.01",298
"092","sad-stone-092","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.659Z","397.95","2021-03-23T20:13:01.658Z","109.002",9,5.1,46,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c54e","Error while running .navigateTo) protocol action: An unknown error has occurred.","57.49",0,"241.13",0,0,0,9819,0,"0 %",0,0,"0 %","17.18",34,0,0,0,0,"1456.84",0,"1602.08","184.10",0,0,17886,0,"0 %",0,0,"0 %","232.01","586.24",0,0,0,0
"093","sad-stone-093","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.660Z","1022.007","No data","NaN",NaN,0,47,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","timeout","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c54f","Test timeout after 1020s",0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0
