"Probe Number","Probe Name","OS","Media","Test start time","Test duration","Connection start time","Connection duration","callSetupTime","score","sessionNumber","inSessionIdx","networking","firewall","browser","location","status","URL","reason","audioBitrate_In","audioBitrate_Out","audioBitrate_In_Max","audioBitrate_In_Min","audioBitrate_Out_Max","audioBitrate_Out_Min","audioPackets_In","audioPacketsLoss_In","audioPacketsLossPercent_In","audioPackets_Out","audioPacketsLoss_Out","audioPacketsLossPercent_Out","audioJitter_In","audioJitter_In_Max","audioJitter_Out","audioJitter_Out_Max","audioRoundtrip","audioRoundtrip_Max","videoBitrate_In","videoBitrate_Out","videoBitrate_In_Max","videoBitrate_In_Min","videoBitrate_Out_Max","videoBitrate_Out_Min","videoPackets_In","videoPacketsLoss_In","videoPacketsLossPercent_In","videoPackets_Out","videoPacketsLoss_Out","videoPacketsLossPercent_Out","videoJitter_In","videoJitter_In_Max","videoJitter_Out","videoJitter_Out_Max","videoRoundtrip","videoRoundtrip_Max"
"11","waiting-balloon-11","Linux","VOA-VGA04 (480x640)","2021-03-23T19:51:20.120Z","374.234","2021-03-23T19:53:09.130Z","198.525",103.9,5.5,6,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d6d","Error while running .clickElement) protocol action: stale element reference: element is not attached to the page document","204.79","59.05","33.78","18.86","135.27","10.91",46403,0,"0 %",17026,17,"0.20 %","15.55",23,"12.74","22.54","35.34",137,"5147.25","1632.40","1302.84","217.52","1666.21","117.60",85878,0,"0 %",33677,"0.50","0.00 %","1073.76","1918.48","9.83","37.21","36.91",349
"12","waiting-balloon-12","Linux","VOA-VGA (480x640)","2021-03-23T19:51:20.121Z","356.65","2021-03-23T19:54:38.284Z","87.048",11.46,5.1,6,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d6e","https:/www.staging.liviasaude.com.br/assetslv2/img/marca-alvaro.svg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","56.89","28.29","62.77","16.13","33.09","19.55",8114,0,"0 %",3808,0,"0 %","13.62",29,"6.12","9.31","19.35",28,"1448.74","504.84","1464.34","164.48","1241.36","208.44",14116,0,"0 %",5040,20,"0.40 %","204.63","292.00","9.21","26.14","21.26",83
"13","waiting-balloon-13","Linux","VOA-VGA04 (480x640)","2021-03-23T19:51:20.122Z","351.817","2021-03-23T19:53:07.147Z","201.184",70.8,5.7,7,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d6f","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","203.75","59.96","37.34","20.50","68.72","18.09",53987,0,"0 %",17861,"12.50","0.14 %","11.44",27,"9.19","19.92","26.06",163,"5829.34","1666.53","1363.97","211.27","2166.68","233.19",109854,0,"0 %",36449,0,"0 %","1154.78","2616.00","7.09","27.38","24.48",114
"14","waiting-balloon-14","Linux","VOA-VGA (480x640)","2021-03-23T19:51:20.123Z","345.742","2021-03-23T19:54:08.991Z","139.578",4,5.9,7,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d70","https:/www.staging.liviasaude.com.br/assetslv2/img/marca-bronstein.svg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","56.15","30.37","67.42",0,"33.70","19.77",13379,0,"0 %",6761,8,"0.12 %","11.26",23,"6.18","8.79","19.50",58,"1780.59","810.03","1759.91","231.79","1259.21","210.25",28843,0,"0 %",13514,0,"0 %","472.73","1234.00","6.70","20.28","20.61",131
"15","waiting-balloon-15","Linux","VOA-VGA04 (480x640)","2021-03-23T19:51:20.128Z","362.613","2021-03-23T19:53:11.893Z","185.927",64.49,5.8,8,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d71","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","211.38","60.81","50.78","17.80","98.64","12.25",50867,"1.14","0.02 %",17086,6,"0.07 %","14.39",30,"13.58","24.81","54.97",231,"5986.70","1595.37","1835.38","199.58","1652.82","99.91",101263,0,"0 %",32334,0,"0 %","1288.93","2350.13","9.60","38.98","38.89",231
"16","waiting-balloon-16","Linux","VOA-VGA (480x640)","2021-03-23T19:51:20.129Z","351.194","2021-03-23T19:54:08.619Z","127.196",4.91,5.8,8,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d72","https:/www.staging.liviasaude.com.br/assetslv2/img/seta-next.svg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","58.92","29.29","130.25",0,"33.41","18.67",12075,0,"0 %",6065,0,"0 %","15.50",34,"6.61","12.46","19.56",34,"1607.81","871.31","1686.41","120.12","1835.59","186.33",23272,0,"0 %",12873,2,"0.02 %","615.02","1415.91","6.76","27.64","19.57",50
"17","waiting-balloon-17","Linux","VOA-VGA04 (480x640)","2021-03-23T19:51:20.130Z","322.389","2021-03-23T19:53:12.087Z","194.946",75.62,5.7,9,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d73","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","114.70","30.15","77.59","6.45",75,"10.87",25699,"1.50","0.02 %",6815,0,"0 %","8.50",19,"6.90","11.50","16.96",37,"3311.81","793.95","2624.03","259.16","2565.58","122.80",51820,0,"0 %",13063,0,"0 %","195.01",375,"6.74","23.30","19.47",53
"18","waiting-balloon-18","Linux","VOA-VGA (480x640)","2021-03-23T19:51:20.131Z","311.498","2021-03-23T19:53:37.654Z","160.9",2.91,5.8,9,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d74","No errors","29.60","28.20","118.80",0,"33.75","13.33",7677,0,"0 %",7783,23,"0.30 %","14.41",90,"7.65","22.73","22.48",57,"869.02","874.31","1952.19","153.52","1309.57","263.98",16002,0,"0 %",16743,0,"0 %","874.97","2213.29","6.45","19.37","19.25",46
"19","waiting-balloon-19","Linux","VOA-VGA04 (480x640)","2021-03-23T19:51:20.131Z","351.602","2021-03-23T19:53:09.637Z","177.295",72.94,5.8,10,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d75","Error while running .clickElement) protocol action: stale element reference: element is not attached to the page document","207.18","58.47","54.73","0.82","69.45","10.81",47318,0,"0 %",16380,10,"0.12 %","13.75",27,"10.78","20.69","28.73",70,"5673.31","1650.28","1541.06","242.98","1459.35","103.27",91693,0,"0 %",32737,0,"0 %","1133.28","2636.08","8.43","26.20","31.85",179
"20","waiting-balloon-20","Linux","VOA-VGA (480x640)","2021-03-23T19:51:20.132Z","347.782","2021-03-23T19:54:12.168Z","111.649",5.63,5.7,10,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a46b8fdab110011d96d76","https:/www.staging.liviasaude.com.br/assetslv2/img/logo-livia-azul.svg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","57.34","29.14","99.01",0,"34.13","19.16",10596,0,"0 %",5280,15,"0.28 %","13.83",30,"8.18","19.56","20.58",37,"1617.09","811.52","1344.39","210.23","1463.15","188.40",21040,0,"0 %",10489,1,"0.01 %","695.26","1732.00","6.68","21.39","20.09",49
