"Probe Number","Probe Name","OS","Media","Test start time","Test duration","Connection start time","Connection duration","callSetupTime","score","sessionNumber","inSessionIdx","networking","firewall","browser","location","status","URL","reason","audioBitrate_In","audioBitrate_Out","audioBitrate_In_Max","audioBitrate_In_Min","audioBitrate_Out_Max","audioBitrate_Out_Min","audioPackets_In","audioPacketsLoss_In","audioPacketsLossPercent_In","audioPackets_Out","audioPacketsLoss_Out","audioPacketsLossPercent_Out","audioJitter_In","audioJitter_In_Max","audioJitter_Out","audioJitter_Out_Max","audioRoundtrip","audioRoundtrip_Max","videoBitrate_In","videoBitrate_Out","videoBitrate_In_Max","videoBitrate_In_Min","videoBitrate_Out_Max","videoBitrate_Out_Min","videoPackets_In","videoPacketsLoss_In","videoPacketsLossPercent_In","videoPackets_Out","videoPacketsLoss_Out","videoPacketsLossPercent_Out","videoJitter_In","videoJitter_In_Max","videoJitter_Out","videoJitter_Out_Max","videoRoundtrip","videoRoundtrip_Max"
"026","overt-month-026","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.795Z","166.711","2021-07-08T23:15:35.266Z","124.002",1,7.8,13,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b53c","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-013 - Failed to load resource: the server responded with a status of 500 ()","12.12","12.54","17.10","2.32","17.10","2.20",5186,0,"0 %",5286,0,"0 %","3.20",7,"2.88","5.04","22.02",38,"1153.43","1901.32","3729.85","258.28","4795.37","557.45",16024,0,"0 %",28758,1,"0.01 %","4826.72",14236,"3.71","13.67","22.46",39
"027","overt-month-027","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.800Z","176.597","2021-07-08T23:15:42.761Z","126.007",3.17,8.2,14,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b53d","2021-07-08T23:15:42.162Z"" ""warn"" ""[RemoteVideoTrackPublication #0: MT386c3377841db39daae6ad536174ec0e]"" ""MT386c3377841db39daae6ad536174ec0e: ON > OFF","10.73","12.55","21.58","0.27","17.15","2.38",4787,0,"0 %",5304,0,"0 %","3.60",22,"0.75","0.75",0,0,"1107.35","1715.03","2295.98","197.88","891.80","94.24",15719,0,"0 %",26948,"0.33","0.00 %","3283.85",10435,"11.14","40.69","25.20",288
"028","overt-month-028","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.802Z","171.761","2021-07-08T23:15:42.055Z","122.439",4.44,8.1,14,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b53e","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-014 - Failed to load resource: the server responded with a status of 500 ()","12.64","11.05","16.88","0.45","17.36","0.27",5106,0,"0 %",4827,0,"0 %","3.91",10,"1.67","1.67",23,23,"1098.37","1819.51","3758.52","135.78","802.98","74.05",14724,0,"0 %",27655,"0.67","0.01 %","4004.08",12165,"10.14","32.10","22.76",34
"029","overt-month-029","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.803Z","176.531","2021-07-08T23:15:46.939Z","122.453",4.45,7.9,15,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b53f","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-015 - Failed to load resource: the server responded with a status of 500 ()","12.61","12.35","17.20","0.32","17.26","0.30",5124,0,"0 %",5237,0,"0 %","3.44",6,"3.14","7.77","21.95",31,"1027.70","1690.13","3128.13","143.62","927.11","111.95",13916,0,"0 %",25970,"0.33","0.00 %","3197.12",10193,"10.42","36.18","21.88",35
"030","overt-month-030","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.806Z","180.743","2021-07-08T23:15:47.742Z","125.951",3.01,8.2,15,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b540","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-015 - Failed to load resource: the server responded with a status of 500 ()","12.02","12.54","16.96","0.27","17.04","0.26",5222,0,"0 %",5316,0,"0 %","3.34",7,"3.08","5.83","21.54",35,"973.43","1932.43","2040.98","307.03","1059.40","113.14",13863,0,"0 %",28544,"2.67","0.03 %","4557.60",17079,"9.52","37.66","21.51",36
"031","overt-month-031","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.807Z","180.879","2021-07-08T23:15:45.866Z","127.001",5,7.7,16,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b541","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-016 - Failed to load resource: the server responded with a status of 500 ()","11.99","12.66","17.52","1.47","16.90","0.87",5190,0,"0 %",5278,0,"0 %","3.40",6,"3.47","6.33","22.01",34,"1070.95","1525.50","2533.92","116.91","867.95","91.63",15461,0,"0 %",24249,"0.67","0.01 %","2818.66",13066,"9.96","32.48","22.55",37
"032","overt-month-032","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.809Z","175.588","2021-07-08T23:15:45.826Z","122.87",4.87,7.7,16,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b542","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-016 - Failed to load resource: the server responded with a status of 500 ()","12.74","12.40","17.20","2.08","17.38","0.27",5129,0,"0 %",5181,0,"0 %","3.62",7,"2.99","5.71","22.18",32,"985.09","1839.61","2499.20","187.13","3579.03","312.52",13278,0,"0 %",28207,"2.67","0.03 %","3692.97",12081,"3.68","11.98","21.90",30
"033","overt-month-033","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.810Z","175.747","2021-07-08T23:15:46.101Z","122.721",3.72,8,17,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b543","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-017 - Failed to load resource: the server responded with a status of 500 ()","12.37","12.23","16.97","1.02",17,"0.28",5143,0,"0 %",5216,0,"0 %","3.54",7,"1.48","1.48",20,20,"1136.87","1691.58","3830.17","245.09","877.96","82.74",15334,0,"0 %",26193,"0.67","0.01 %","3876.90",9006,"10.70","37.80","22.32",36
"034","overt-month-034","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.812Z","178.989","2021-07-08T23:15:46.367Z","126.003",3,7.7,17,2,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b544","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-017 - Failed to load resource: the server responded with a status of 500 ()","11.91","12.30","17.28","2.73","16.89","0.93",5220,0,"0 %",5289,0,"0 %","3.59",7,"3.61","7.83","22.99",41,"963.32","1816.24","2363.29","148.91","3344.41","626.83",13697,0,"0 %",27477,0,"0 %","3641.52",13080,"4.57","12.87","21.93",36
"035","overt-month-035","Linux","KrankyGeek-1080p (1080x1920)","2021-07-08T23:14:56.815Z","175.964","2021-07-08T23:15:46.229Z","123.124",4.15,7.7,18,1,"No throttling","No Firewall","chrome:91.0.4472.114","East US","completed","app.testrtc.com/app/testIteration/60e786f0c6ced60012a2b545","https:/video-services-3963.twil.io/AverageWaitInSecs?room=stress-018 - Failed to load resource: the server responded with a status of 500 ()","12.64","12.49","17.27","0.97","17.09","0.34",5151,0,"0 %",5293,0,"0 %","3.58",6,"1.21","1.21",20,20,"1015.69","1829.13","3162.28","129.88","3034.53","205.66",13859,0,"0 %",27598,4,"0.04 %","4048.43",12258,"3.35","18.09","21.59",32
